customer_id,target_monthly_spend,fold_id,oof_prediction
75570383,573.78,1,467.6871143853778
77915507,103.15,0,203.27339015933484
31958910,297.28,3,718.6933953055523
76868487,353.81,2,541.3080023784364
69435006,392.83,0,494.1273046750757
77839435,729.68,3,786.1428755919392
48477656,232.55,1,374.0099110203966
35650259,343.17,0,503.78470604338384
52835676,278.63,1,207.42313685295153
94747661,100.0,4,289.4169179731319
86721650,601.09,3,404.4684804285186
13990016,241.79,3,226.69234008280966
52181606,579.11,3,777.0112890944848
55031862,100.0,0,100.0
63458545,132.64,3,149.9031072817345
70077133,280.2,3,236.92952561758045
94797989,100.0,4,100.0
11861113,130.48,1,253.67146090116597
71300790,100.0,2,100.0
56912274,100.0,2,144.14187958462082
69361118,538.62,3,293.9960741034535
58527003,100.0,4,309.48774000188234
78621389,250.92,3,121.49195880172982
95531820,134.59,0,506.4712752855386
64980163,100.0,2,100.0
51770731,1228.82,2,1205.506634978509
63600010,100.0,3,138.24471916575732
29680959,100.0,3,100.0
77254126,879.47,4,876.8931402538699
64268951,248.5,2,147.68733347669553
95460983,966.87,1,919.1505350221377
64345143,359.28,2,184.63442370929369
52560459,100.0,3,100.0
67522325,100.59,1,143.23786147323943
47501584,100.0,0,100.0
87983467,100.0,1,100.0
87404131,272.42,3,267.6948270537457
75471595,385.88,3,513.0901198644798
42131372,100.0,3,258.5559474521761
37786340,445.08,3,231.87102573868987
26532649,100.0,0,214.2010315699009
16428210,412.28,2,615.3701301716255
34168928,100.0,2,100.0
78990863,227.38,1,401.7394314793686
78006645,479.47,2,472.8298018951234
12605714,100.0,3,122.41872136396069
51442746,328.49,1,302.2556710989114
48588939,100.0,2,100.0
46824260,244.74,4,455.5765947308373
48441046,560.87,1,563.602455700661
96319123,100.0,2,100.0
53707476,1349.93,3,909.0134357572526
61720637,100.0,0,100.0
83555331,100.0,0,100.0
89361748,315.25,2,590.1780359444799
77759109,680.51,4,679.9202759888217
44371592,428.94,3,567.1917929625138
26610817,1935.7,2,1552.9410277321865
13069781,198.95,2,162.70043646108476
74898724,3520.63,2,2256.950280065505
97917718,100.0,4,103.81250130225226
94674668,100.0,0,100.0
98344221,595.31,2,470.0008857868737
95493941,527.95,1,567.287378242951
20408310,100.0,3,100.0
35204750,100.0,3,240.84091091580626
32991669,401.8,4,273.05886255187323
15451514,100.0,4,297.4704636681071
99875046,2162.23,2,1688.4529801291317
34442521,305.4,0,469.3517467805525
22536188,100.0,0,100.0
16752709,686.5,3,866.1858677017167
41318787,100.0,2,100.0
17058618,100.0,3,228.50294689369457
30606165,100.0,4,160.8351503234436
90260929,357.33,0,504.91928560615975
40797781,1182.91,3,826.1458954142124
66533040,100.0,4,100.0
83798402,100.0,4,100.0
57786859,100.0,3,100.0
60845249,873.16,3,828.0361863588588
25516818,100.0,3,271.04755154085444
28467373,153.57,4,100.0
60197659,100.0,0,100.0
46128578,100.0,3,100.0
73079625,100.0,1,100.0
65184780,100.0,0,475.1560187932423
63074353,486.12,2,140.3176367324209
36445132,851.45,1,704.4941553119218
32670859,292.69,0,163.27615571139168
33261871,331.9,0,334.6715568413633
12832356,568.78,2,717.3270296102465
39048050,100.0,0,258.7285916349176
99269359,198.28,3,272.74622496827277
82922399,345.24,3,233.70618297054693
16983642,454.89,2,534.5238033907605
64173363,1303.96,0,1088.9788068272705
16749387,100.0,4,100.0
22569697,100.0,0,127.3928251795179
61702023,2995.56,1,1840.5115568043154
76328458,657.85,1,455.9288685432948
56996264,100.0,1,100.0
67560501,100.0,2,204.819196831081
46719783,100.0,1,100.0
58941638,194.54,4,168.48259360469575
91121324,100.0,4,262.4904739046469
64598861,141.02,3,201.43019008989816
14128906,100.0,3,100.0
45574662,738.55,3,435.8301209012475
65701641,100.0,0,211.28866595408869
34482067,775.2,1,718.1056243521934
24006455,123.17,3,252.23163869692831
46214063,227.14,4,247.0150295323533
57124666,100.0,2,100.0
33438799,1401.06,2,1370.7674100721026
17324698,227.7,2,117.92907092801198
10497577,100.0,0,100.0
23280076,352.24,4,419.77231731168837
14294164,2394.66,2,1889.7813274107077
60009998,109.84,0,288.2109162181891
91246088,1480.61,0,1195.7903641847288
69483038,100.0,1,162.62415977512376
34495985,100.0,0,100.0
33585716,438.52,2,348.58609771747194
94531671,100.0,1,100.0
44073582,100.0,4,197.0557313137611
14399198,1150.6,4,1887.1663934843398
98703987,785.3,1,636.3163728170985
16300570,534.81,0,398.92655482936755
12653630,544.38,2,458.1866358598671
36286308,100.0,0,137.55016780536317
69872507,100.0,3,282.5125975435044
78019997,100.0,4,100.0
73507413,100.0,1,891.5416596262737
26035116,100.0,0,100.0
42138533,292.96,2,488.39655908615856
87173649,307.73,4,412.6899348483749
58565713,182.44,1,178.2906538671011
15892422,513.72,4,691.4983960913091
40468256,195.49,0,281.52122606923945
83382930,359.96,1,429.8943027123376
95599299,100.0,4,100.0
28574111,100.0,1,285.5984350659251
15749262,100.0,4,175.562460110284
27592965,100.0,0,100.0
93156830,100.0,4,100.0
78172959,100.0,2,200.19722060386096
61779394,103.64,1,203.15334746952567
90929111,743.49,3,597.4407619504036
73961513,533.29,3,1598.7084148910362
73953693,248.6,1,369.3645026702254
91869235,1155.58,3,823.2320526193846
83019302,100.0,2,100.0
73993115,100.0,4,287.8043072913741
35728851,794.61,2,744.5768386826577
56633814,100.0,4,100.0
51314768,690.41,1,794.0315327836936
51472310,100.0,3,100.0
36578566,100.0,3,100.0
21918434,145.14,4,456.18892641075223
54116135,100.0,2,351.2968246204829
69697340,1456.44,4,1642.2483793824354
13289965,100.0,4,377.8765666628951
45062283,486.05,4,375.0267221514781
86379029,100.0,2,167.3032816629505
80377909,134.65,0,186.60891228563315
87210363,234.98,2,301.8678802022926
34118905,723.29,1,966.8205593750066
77513350,100.0,2,334.2441009346188
12591547,100.0,2,192.7196818351547
96280992,344.26,2,221.6806849015082
14493640,2691.83,3,100.0
69304391,100.0,1,584.6373519304739
76737539,100.0,1,100.0
17366709,554.06,4,507.3217585275431
40202689,170.5,2,307.10388186954253
23764007,100.0,1,209.318467898411
42552399,100.0,1,250.23904186443042
62626162,990.93,4,726.3954817074427
91939282,625.29,3,430.4841882123332
89071183,100.0,0,139.4077289169233
13724186,554.74,0,582.0029796946833
26187750,100.0,1,100.0
92219224,100.0,3,100.0
12752936,442.65,2,403.79862440606666
92018823,693.81,2,696.3631469752144
51584334,116.41,0,479.31959470013885
59853584,878.42,0,605.1396399032694
12518916,100.0,1,100.0
67043640,427.42,4,427.68443111177197
65185825,588.82,4,462.9512297699781
38662951,700.06,4,585.8712380693421
77473407,100.0,4,100.0
51221012,100.0,4,146.55100862494533
76649249,100.0,0,112.51436870333396
85310427,100.0,3,245.80478005128134
16487714,100.0,0,100.0
44215644,716.53,4,511.5856927415732
85419147,453.64,0,635.2235152803602
34859563,100.0,1,100.0
48738780,100.0,0,175.85000181918377
39817262,663.69,2,505.30762345970675
38540355,206.35,1,273.0927771634384
96382806,121.76,4,401.88473561774424
26774388,100.0,1,455.65670810890936
64745501,100.0,2,195.4133287780748
68398063,744.75,4,747.5338036447961
72108534,1172.76,4,1028.8297582177922
52289104,475.09,1,257.0872334649387
78843781,359.13,3,436.0145291555768
74494245,300.34,0,388.4766842634575
48554049,256.48,4,189.1216580672997
38743530,100.0,0,100.0
76605535,418.62,1,576.867100667208
34218267,195.33,1,223.38864950524413
86644490,226.76,4,457.30857443201864
58825477,138.65,0,145.37212757119042
