rank,category,model_name,filename_tag,important_params,oof_rmse_cv5_rs42,feature_engineering,oof_file,storage,shared_index_file,prediction_shard_file,prediction_dtype,sample_count
1,advanced_fe,Weighted Blend FE,blend_fe_hgb50_et50,fe_hgb500d6_w0p50_plus_fe_et400_w0p50,147.125661,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/01_blend_fe_hgb50_et50__fe_hgb500d6_w0p50_plus_fe_et400_w0p50__rmse147.1257.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/01_blend_fe_hgb50_et50__fe_hgb500d6_w0p50_plus_fe_et400_w0p50__rmse147.1257.npz,float32,40000
2,advanced_fe,HistGradientBoosting Wide FE,hist_gb_700_d8_fe,fe_lr0p03_depth8_iter700_l20p5,143.082627,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/02_hist_gb_700_d8_fe__fe_lr0p03_depth8_iter700_l20p5__rmse143.0826.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/02_hist_gb_700_d8_fe__fe_lr0p03_depth8_iter700_l20p5__rmse143.0826.npz,float32,40000
3,advanced_fe,HistGradientBoosting Tuned FE,hist_gb_500_d6_fe,fe_lr0p05_depth6_iter500_l21p0,144.533247,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/03_hist_gb_500_d6_fe__fe_lr0p05_depth6_iter500_l21p0__rmse144.5332.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/03_hist_gb_500_d6_fe__fe_lr0p05_depth6_iter500_l21p0__rmse144.5332.npz,float32,40000
4,advanced_fe,ExtraTrees Tuned FE,extra_trees_400_fe,fe_n400_leaf2_seed42,157.161216,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/04_extra_trees_400_fe__fe_n400_leaf2_seed42__rmse157.1612.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/04_extra_trees_400_fe__fe_n400_leaf2_seed42__rmse157.1612.npz,float32,40000
5,basic_fe,ExtraTrees FE,extra_trees_200_fe,fe_n200_leaf2_seed42,157.322521,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/05_extra_trees_200_fe__fe_n200_leaf2_seed42__rmse157.3225.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/05_extra_trees_200_fe__fe_n200_leaf2_seed42__rmse157.3225.npz,float32,40000
6,basic_fe,HistGradientBoosting FE,hist_gb_300_fe,fe_lr0p05_depth6_iter300_l21p0,144.67105,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/06_hist_gb_300_fe__fe_lr0p05_depth6_iter300_l21p0__rmse144.6711.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/06_hist_gb_300_fe__fe_lr0p05_depth6_iter300_l21p0__rmse144.6711.npz,float32,40000
7,basic_fe,RandomForest FE,random_forest_160_fe,fe_n160_leaf2_seed42,166.829622,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/07_random_forest_160_fe__fe_n160_leaf2_seed42__rmse166.8296.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/07_random_forest_160_fe__fe_n160_leaf2_seed42__rmse166.8296.npz,float32,40000
8,basic_linear_fe,Lasso Regression FE,lasso_linear_fe,fe_alpha0p0005_iter5000_seed42,193.831057,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/08_lasso_linear_fe__fe_alpha0p0005_iter5000_seed42__rmse193.8311.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/08_lasso_linear_fe__fe_alpha0p0005_iter5000_seed42__rmse193.8311.npz,float32,40000
9,basic_linear_fe,Ridge Regression FE,ridge_linear_fe,fe_alpha1p0,193.680776,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/09_ridge_linear_fe__fe_alpha1p0__rmse193.6808.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/09_ridge_linear_fe__fe_alpha1p0__rmse193.6808.npz,float32,40000
10,basic_linear_fe,ElasticNet Regression FE,elasticnet_linear_fe,fe_alpha0p0005_l1r0p2_iter5000_seed42,193.665859,v1_interactions_ratios_category_crosses,outputs/forward_selection_oof_feature_engineered/models/10_elasticnet_linear_fe__fe_alpha0p0005_l1r0p2_iter5000_seed42__rmse193.6659.csv,npz_compressed,outputs/forward_selection_oof_feature_engineered/shared/index_arrays.npz,outputs/forward_selection_oof_feature_engineered/shards/10_elasticnet_linear_fe__fe_alpha0p0005_l1r0p2_iter5000_seed42__rmse193.6659.npz,float32,40000
